x,y,NORMAL_SUNSHINE,LAST_UPDATED,NORMAL_SNOWFALL,LATITUDE,MIN_TEMPERATURE,DAYS_WITH_VALID_MAX_TEMP,CLIMATE_IDENTIFIER,MAX_TEMPERATURE,TOTAL_SNOWFALL,ENG_PROVINCE_NAME,TOTAL_PRECIPITATION,DAYS_WITH_VALID_SNOWFALL,HEATING_DEGREE_DAYS,LOCAL_DATE,DAYS_WITH_VALID_MIN_TEMP,COOLING_DEGREE_DAYS,ID,NORMAL_PRECIPITATION,STATION_NAME,BRIGHT_SUNSHINE,SNOW_ON_GROUND_LAST_DAY,MEAN_TEMPERATURE,DAYS_WITH_PRECIP_GE_1MM,FRE_PROVINCE_NAME,DAYS_WITH_VALID_PRECIP,PROVINCE_CODE,NORMAL_MEAN_TEMPERATURE,DAYS_WITH_VALID_MEAN_TEMP,LOCAL_YEAR,DAYS_WITH_VALID_SUNSHINE,LOCAL_MONTH,LONGITUDE
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-40.6,22,4020280,3.9,38.2,SASKATCHEWAN,41.3,31,702.5,1977-12,23,0,3070.1977.12,18.21,ASSINIBOIA,,,-13.931818181818182,9,SASKATCHEWAN,31,SK,-11.08,22,1977,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-36.7,31,4020280,-0.6,15.8,SASKATCHEWAN,15.8,31,1163,1978-01,31,0,3070.1978.1,16.34,ASSINIBOIA,,,-19.516129032258064,4,SASKATCHEWAN,31,SK,-11.55,31,1978,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-31.7,28,4020280,2.8,15.3,SASKATCHEWAN,15.3,28,902,1978-02,28,0,3070.1978.2,10.05,ASSINIBOIA,,,-14.214285714285714,7,SASKATCHEWAN,28,SK,-8.79,28,1978,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-29.4,22,4020280,20,5.3,SASKATCHEWAN,6.6,31,399.5,1978-03,22,0,3070.1978.3,22.73,ASSINIBOIA,,,-1.0238095238095237,3,SASKATCHEWAN,31,SK,-2.38,21,1978,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-6.7,30,4020280,22.8,5.6,SASKATCHEWAN,20,30,378.9,1978-04,29,0,3070.1978.4,17.4,ASSINIBOIA,,,4.93448275862069,9,SASKATCHEWAN,30,SK,5.08,29,1978,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-1.1,31,4020280,32.8,0,SASKATCHEWAN,82,31,204.1,1978-05,31,4.9,3070.1978.5,52.15,ASSINIBOIA,,,11.574193548387097,13,SASKATCHEWAN,31,SK,11.45,31,1978,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,1.7,30,4020280,30.6,0,SASKATCHEWAN,71.1,30,65.1,1978-06,30,27.8,3070.1978.6,66.46,ASSINIBOIA,,,16.756666666666668,14,SASKATCHEWAN,30,SK,16.39,30,1978,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,6.1,31,4020280,31.7,0,SASKATCHEWAN,83.5,31,41.6,1978-07,31,37.2,3070.1978.7,72.46,ASSINIBOIA,,,17.858064516129033,7,SASKATCHEWAN,31,SK,18.48,31,1978,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,1.1,12,4020280,26.7,0,SASKATCHEWAN,14,31,33.1,1978-08,13,1.3,3070.1978.8,41.85,ASSINIBOIA,,,15.35,2,SASKATCHEWAN,13,SK,18.02,12,1978,,8,-105.967
-105.96666666666667,49.733333333333334,,2024-11-04 11:25:53,3.02,49.733,0,30,4020280,35.6,0,SASKATCHEWAN,113.1,30,152.3,1978-09,30,17.3,3070.1978.9,36.15,ASSINIBOIA,,,13.5,8,SASKATCHEWAN,30,SK,11.59,30,1978,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-6.1,31,4020280,22.8,0,SASKATCHEWAN,1.7,31,340.6,1978-10,31,0,3070.1978.10,19.71,ASSINIBOIA,,,7.012903225806451,0,SASKATCHEWAN,31,SK,5.26,31,1978,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-31.7,29,4020280,20.6,23.8,SASKATCHEWAN,27.1,30,741,1978-11,29,0,3070.1978.11,17.52,ASSINIBOIA,,,-7.551724137931035,6,SASKATCHEWAN,30,SK,-4.53,29,1978,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-32.2,30,4020280,2.2,49.3,SASKATCHEWAN,49.3,31,954.5,1978-12,31,0,3070.1978.12,18.21,ASSINIBOIA,,,-13.816666666666666,10,SASKATCHEWAN,31,SK,-11.08,30,1978,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-33.3,31,4020280,-3.9,17.9,SASKATCHEWAN,17.9,31,1172.1,1979-01,31,0,3070.1979.1,16.34,ASSINIBOIA,,,-19.809677419354838,7,SASKATCHEWAN,31,SK,-11.55,31,1979,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-35.6,28,4020280,3.9,18.7,SASKATCHEWAN,18.7,28,1020.5,1979-02,28,0,3070.1979.2,10.05,ASSINIBOIA,,,-18.446428571428573,10,SASKATCHEWAN,28,SK,-8.79,28,1979,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-26.1,18,4020280,13.3,3.1,SASKATCHEWAN,3.1,31,388.8,1979-03,18,0,3070.1979.3,22.73,ASSINIBOIA,,,-3.6,1,SASKATCHEWAN,31,SK,-2.38,18,1979,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-20.6,30,4020280,13.9,32.8,SASKATCHEWAN,55.8,30,478.6,1979-04,27,0,3070.1979.4,17.4,ASSINIBOIA,,,0.2740740740740741,10,SASKATCHEWAN,30,SK,5.08,27,1979,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-5.6,29,4020280,26.7,58.3,SASKATCHEWAN,79.8,31,304.1,1979-05,30,0.4,3070.1979.5,52.15,ASSINIBOIA,,,7.527586206896552,13,SASKATCHEWAN,31,SK,11.45,29,1979,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,0,30,4020280,33.3,0,SASKATCHEWAN,35.9,30,61.8,1979-06,30,20.6,3070.1979.6,66.46,ASSINIBOIA,,,16.626666666666665,6,SASKATCHEWAN,30,SK,16.39,30,1979,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,7.8,18,4020280,32.2,0,SASKATCHEWAN,1.7,31,6.5,1979-07,18,50,3070.1979.7,72.46,ASSINIBOIA,,,20.416666666666668,0,SASKATCHEWAN,31,SK,18.48,18,1979,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,2.2,19,4020280,32.8,0,SASKATCHEWAN,33,31,24.6,1979-08,19,24.1,3070.1979.8,41.85,ASSINIBOIA,,,17.97222222222222,3,SASKATCHEWAN,31,SK,18.02,18,1979,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-0.6,29,4020280,32.8,0,SASKATCHEWAN,24.2,30,118.4,1979-09,29,9.9,3070.1979.9,36.15,ASSINIBOIA,,,14.125,5,SASKATCHEWAN,30,SK,11.59,28,1979,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-5.6,29,4020280,27.2,2.5,SASKATCHEWAN,40.6,31,261.6,1979-10,29,0,3070.1979.10,19.71,ASSINIBOIA,,,8.311111111111112,3,SASKATCHEWAN,31,SK,5.26,27,1979,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-17,29,4020280,14.4,7.4,SASKATCHEWAN,7.4,30,623.9,1979-11,30,0,3070.1979.11,17.52,ASSINIBOIA,,,-3.513793103448276,2,SASKATCHEWAN,30,SK,-4.53,29,1979,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-28.3,31,4020280,10,4.6,SASKATCHEWAN,5.4,31,693.2,1979-12,31,0,3070.1979.12,18.21,ASSINIBOIA,,,-4.361290322580645,1,SASKATCHEWAN,31,SK,-11.08,31,1979,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-33.9,31,4020280,5.6,16.5,SASKATCHEWAN,16.5,31,1013.7,1980-01,31,0,3070.1980.1,16.34,ASSINIBOIA,,,-14.7,6,SASKATCHEWAN,31,SK,-11.55,31,1980,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-27.2,29,4020280,4.4,18.8,SASKATCHEWAN,18.8,29,861.1,1980-02,29,0,3070.1980.2,10.05,ASSINIBOIA,,,-11.693103448275862,4,SASKATCHEWAN,29,SK,-8.79,29,1980,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-26.1,31,4020280,11.7,21,SASKATCHEWAN,38,31,745.6,1980-03,31,0,3070.1980.3,22.73,ASSINIBOIA,,,-6.051612903225807,10,SASKATCHEWAN,31,SK,-2.38,31,1980,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-4,30,4020280,32,0,SASKATCHEWAN,12,30,264.9,1980-04,30,0.5,3070.1980.4,17.4,ASSINIBOIA,,,9.186666666666667,3,SASKATCHEWAN,30,SK,5.08,30,1980,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-7,31,4020280,37,0,SASKATCHEWAN,0.4,31,168.1,1980-05,31,33.9,3070.1980.5,52.15,ASSINIBOIA,,,13.670967741935485,0,SASKATCHEWAN,31,SK,11.45,31,1980,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,-2.5,29,4020280,32,0,SASKATCHEWAN,70.6,30,60.2,1980-06,28,22.9,3070.1980.6,66.46,ASSINIBOIA,,,16.667857142857144,6,SASKATCHEWAN,30,SK,16.39,28,1980,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,4.5,28,4020280,34,0,SASKATCHEWAN,46.4,31,20.2,1980-07,30,43.7,3070.1980.7,72.46,ASSINIBOIA,,,18.839285714285715,8,SASKATCHEWAN,31,SK,18.48,28,1980,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,-1,17,4020280,30.5,0,SASKATCHEWAN,33.3,31,52.9,1980-08,16,2,3070.1980.8,41.85,ASSINIBOIA,,,14.81875,3,SASKATCHEWAN,31,SK,18.02,16,1980,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-4,30,4020280,34.5,0,SASKATCHEWAN,35.6,30,185.1,1980-09,30,10.4,3070.1980.9,36.15,ASSINIBOIA,,,12.176666666666666,9,SASKATCHEWAN,30,SK,11.59,30,1980,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-9,31,4020280,28.5,0,SASKATCHEWAN,8.2,31,358.9,1980-10,31,0.3,3070.1980.10,19.71,ASSINIBOIA,,,6.432258064516129,4,SASKATCHEWAN,31,SK,5.26,31,1980,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-19.5,30,4020280,19.5,8,SASKATCHEWAN,19.6,30,555.6,1980-11,30,0,3070.1980.11,17.52,ASSINIBOIA,,,-0.52,6,SASKATCHEWAN,30,SK,-4.53,30,1980,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-37,31,4020280,11,20.5,SASKATCHEWAN,20.9,31,914.9,1980-12,31,0,3070.1980.12,18.21,ASSINIBOIA,,,-11.512903225806452,9,SASKATCHEWAN,31,SK,-11.08,31,1980,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-21,31,4020280,11,10.4,SASKATCHEWAN,10.4,31,744.8,1981-01,31,0,3070.1981.1,16.34,ASSINIBOIA,,8,-6.025806451612903,3,SASKATCHEWAN,31,SK,-11.55,31,1981,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-31.5,28,4020280,10.5,2,SASKATCHEWAN,2,28,684,1981-02,28,0,3070.1981.2,10.05,ASSINIBOIA,,0,-6.428571428571429,1,SASKATCHEWAN,28,SK,-8.79,28,1981,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-21,31,4020280,17.5,8.4,SASKATCHEWAN,19,31,509.1,1981-03,31,0,3070.1981.3,22.73,ASSINIBOIA,,0,1.5774193548387097,5,SASKATCHEWAN,31,SK,-2.38,31,1981,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-10,30,4020280,27,0,SASKATCHEWAN,10.4,30,336.7,1981-04,30,0,3070.1981.4,17.4,ASSINIBOIA,,0,6.776666666666666,5,SASKATCHEWAN,30,SK,5.08,30,1981,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-6,31,4020280,30,0,SASKATCHEWAN,15,31,169.3,1981-05,31,3.6,3070.1981.5,52.15,ASSINIBOIA,,0,12.654838709677419,5,SASKATCHEWAN,31,SK,11.45,31,1981,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,0.5,30,4020280,31,0,SASKATCHEWAN,88.8,30,117.8,1981-06,30,6.1,3070.1981.6,66.46,ASSINIBOIA,,0,14.276666666666667,14,SASKATCHEWAN,30,SK,16.39,30,1981,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,1.5,31,4020280,37,0,SASKATCHEWAN,35.6,31,19.3,1981-07,31,62.8,3070.1981.7,72.46,ASSINIBOIA,,0,19.403225806451612,5,SASKATCHEWAN,31,SK,18.48,31,1981,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,3.5,23,4020280,33,0,SASKATCHEWAN,36.4,31,9.2,1981-08,22,49.7,3070.1981.8,41.85,ASSINIBOIA,,0,19.84090909090909,6,SASKATCHEWAN,31,SK,18.02,22,1981,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-3,30,4020280,34,0,SASKATCHEWAN,28.6,30,140.3,1981-09,30,13.1,3070.1981.9,36.15,ASSINIBOIA,,0,13.76,4,SASKATCHEWAN,30,SK,11.59,30,1981,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-12,30,4020280,26,2,SASKATCHEWAN,44.8,31,382.7,1981-10,30,0,3070.1981.10,19.71,ASSINIBOIA,,0,4.803448275862069,6,SASKATCHEWAN,31,SK,5.26,29,1981,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-17.5,30,4020280,22,21,SASKATCHEWAN,23,30,521.2,1981-11,30,0,3070.1981.11,17.52,ASSINIBOIA,,15,0.6266666666666667,6,SASKATCHEWAN,30,SK,-4.53,30,1981,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-31,31,4020280,5,15.1,SASKATCHEWAN,15.1,31,913.3,1981-12,31,0,3070.1981.12,18.21,ASSINIBOIA,,,-11.461290322580645,7,SASKATCHEWAN,31,SK,-11.08,31,1981,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-39.5,31,4020280,5,13.2,SASKATCHEWAN,13.2,31,1283.9,1982-01,31,0,3070.1982.1,16.34,ASSINIBOIA,,,-23.416129032258066,8,SASKATCHEWAN,31,SK,-11.55,31,1982,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-35.5,28,4020280,5,17.3,SASKATCHEWAN,17.3,28,887,1982-02,28,0,3070.1982.2,10.05,ASSINIBOIA,,,-13.678571428571429,6,SASKATCHEWAN,28,SK,-8.79,28,1982,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-29.5,31,4020280,4.5,25.3,SASKATCHEWAN,27.3,31,792.2,1982-03,31,0,3070.1982.3,22.73,ASSINIBOIA,,,-7.554838709677419,8,SASKATCHEWAN,31,SK,-2.38,31,1982,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-21,30,4020280,24,6.9,SASKATCHEWAN,9.2,30,491.7,1982-04,30,0,3070.1982.4,17.4,ASSINIBOIA,,,1.61,3,SASKATCHEWAN,30,SK,5.08,30,1982,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-5.5,31,4020280,25.5,2.5,SASKATCHEWAN,159.4,31,272.7,1982-05,31,0,3070.1982.5,52.15,ASSINIBOIA,,,9.203225806451613,12,SASKATCHEWAN,31,SK,11.45,31,1982,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,5.5,30,4020280,30,0,SASKATCHEWAN,52,30,87.5,1982-06,30,6.1,3070.1982.6,66.46,ASSINIBOIA,,,15.286666666666667,4,SASKATCHEWAN,30,SK,16.39,30,1982,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,8,31,4020280,30,0,SASKATCHEWAN,67.7,31,21.4,1982-07,31,27.1,3070.1982.7,72.46,ASSINIBOIA,,,18.183870967741935,8,SASKATCHEWAN,31,SK,18.48,31,1982,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,2.5,30,4020280,32,0,SASKATCHEWAN,25.8,31,62,1982-08,30,31.9,3070.1982.8,41.85,ASSINIBOIA,,,16.96206896551724,8,SASKATCHEWAN,31,SK,18.02,29,1982,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-3,30,4020280,32,7,SASKATCHEWAN,24,30,208,1982-09,30,8.6,3070.1982.9,36.15,ASSINIBOIA,,,11.353333333333333,5,SASKATCHEWAN,30,SK,11.59,30,1982,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-12.5,31,4020280,22,15,SASKATCHEWAN,35.8,31,384.8,1982-10,31,0,3070.1982.10,19.71,ASSINIBOIA,,,5.587096774193548,5,SASKATCHEWAN,31,SK,5.26,31,1982,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-21.5,30,4020280,10,4,SASKATCHEWAN,4,30,704.6,1982-11,30,0,3070.1982.11,17.52,ASSINIBOIA,,0,-5.486666666666666,4,SASKATCHEWAN,30,SK,-4.53,30,1982,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-29.5,31,4020280,6,20.2,SASKATCHEWAN,20.7,31,825.6,1982-12,31,0,3070.1982.12,18.21,ASSINIBOIA,,11,-8.63225806451613,6,SASKATCHEWAN,31,SK,-11.08,31,1982,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-35,31,4020280,4.5,21.1,SASKATCHEWAN,21.5,31,828.9,1983-01,31,0,3070.1983.1,16.34,ASSINIBOIA,,,-8.738709677419354,5,SASKATCHEWAN,31,SK,-11.55,31,1983,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-25.5,28,4020280,10.5,5,SASKATCHEWAN,5,28,670.2,1983-02,28,0,3070.1983.2,10.05,ASSINIBOIA,,,-5.935714285714286,2,SASKATCHEWAN,28,SK,-8.79,28,1983,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-17.5,31,4020280,11.5,31,SASKATCHEWAN,31,31,683,1983-03,31,0,3070.1983.3,22.73,ASSINIBOIA,,,-4.032258064516129,9,SASKATCHEWAN,31,SK,-2.38,31,1983,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-10,30,4020280,23.5,0,SASKATCHEWAN,0.2,30,405,1983-04,30,0,3070.1983.4,17.4,ASSINIBOIA,,,4.5,0,SASKATCHEWAN,30,SK,5.08,30,1983,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-3.5,31,4020280,27.5,28,SASKATCHEWAN,42,31,271.8,1983-05,31,0.5,3070.1983.5,52.15,ASSINIBOIA,,,9.248387096774193,3,SASKATCHEWAN,31,SK,11.45,31,1983,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,-0.5,30,4020280,31,0,SASKATCHEWAN,41.2,30,88.8,1983-06,30,21.5,3070.1983.6,66.46,ASSINIBOIA,,,15.756666666666666,6,SASKATCHEWAN,30,SK,16.39,30,1983,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,8,31,4020280,36,0,SASKATCHEWAN,93.8,31,20.3,1983-07,31,71.7,3070.1983.7,72.46,ASSINIBOIA,,,19.65806451612903,7,SASKATCHEWAN,31,SK,18.48,31,1983,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,5,31,4020280,39,0,SASKATCHEWAN,10.4,31,11.9,1983-08,31,119.3,3070.1983.8,41.85,ASSINIBOIA,,,21.46451612903226,3,SASKATCHEWAN,31,SK,18.02,31,1983,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-4.5,30,4020280,37.5,5,SASKATCHEWAN,59.2,30,222.5,1983-09,30,9.4,3070.1983.9,36.15,ASSINIBOIA,,,10.896666666666667,7,SASKATCHEWAN,30,SK,11.59,30,1983,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-6,31,4020280,25.5,0,SASKATCHEWAN,3.4,31,349.1,1983-10,31,0,3070.1983.10,19.71,ASSINIBOIA,,,6.7387096774193544,2,SASKATCHEWAN,31,SK,5.26,31,1983,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-19.5,30,4020280,18,10.4,SASKATCHEWAN,17.4,30,608.4,1983-11,30,0,3070.1983.11,17.52,ASSINIBOIA,,8,-2.28,8,SASKATCHEWAN,30,SK,-4.53,30,1983,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-43.5,31,4020280,-3,12.8,SASKATCHEWAN,12.8,31,1202.8,1983-12,31,0,3070.1983.12,18.21,ASSINIBOIA,,15,-20.8,7,SASKATCHEWAN,31,SK,-11.08,31,1983,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-33.5,31,4020280,5.5,13.6,SASKATCHEWAN,14.2,31,880.2,1984-01,31,0,3070.1984.1,16.34,ASSINIBOIA,,,-10.393548387096773,4,SASKATCHEWAN,31,SK,-11.55,31,1984,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-18,29,4020280,9,3.6,SASKATCHEWAN,1,29,594.4,1984-02,29,0,3070.1984.2,10.05,ASSINIBOIA,,,-2.496551724137931,1,SASKATCHEWAN,28,SK,-8.79,29,1984,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-24.5,31,4020280,13,20.2,SASKATCHEWAN,22.2,31,671.6,1984-03,31,0,3070.1984.3,22.73,ASSINIBOIA,,0,-3.664516129032258,7,SASKATCHEWAN,31,SK,-2.38,31,1984,,3,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.83,49.733,-11,30,4020280,23.5,0,SASKATCHEWAN,3.6,30,338.8,1984-04,30,0,3070.1984.4,17.4,ASSINIBOIA,,0,6.706666666666667,2,SASKATCHEWAN,30,SK,5.08,30,1984,,4,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.21,49.733,-10,31,4020280,35,3,SASKATCHEWAN,17.2,31,241.4,1984-05,31,6.6,3070.1984.5,52.15,ASSINIBOIA,,0,10.425806451612903,5,SASKATCHEWAN,31,SK,11.45,31,1984,,5,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,2,30,4020280,33,0,SASKATCHEWAN,118.8,30,79.5,1984-06,30,17.9,3070.1984.6,66.46,ASSINIBOIA,,0,15.946666666666667,10,SASKATCHEWAN,30,SK,16.39,30,1984,,6,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,5,31,4020280,35,0,SASKATCHEWAN,9.6,31,13.3,1984-07,31,72.1,3070.1984.7,72.46,ASSINIBOIA,,0,19.89677419354839,4,SASKATCHEWAN,31,SK,18.48,31,1984,,7,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,,49.733,1.5,31,4020280,36.5,0,SASKATCHEWAN,22.6,31,27.2,1984-08,31,112.6,3070.1984.8,41.85,ASSINIBOIA,,0,20.75483870967742,5,SASKATCHEWAN,31,SK,18.02,31,1984,,8,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,3.02,49.733,-6,30,4020280,31,3.8,SASKATCHEWAN,34.7,30,291.1,1984-09,30,3.1,3070.1984.9,36.15,ASSINIBOIA,,0,8.4,9,SASKATCHEWAN,30,SK,11.59,30,1984,,9,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,5.98,49.733,-22.5,31,4020280,26.5,32.8,SASKATCHEWAN,33,31,467.2,1984-10,31,0,3070.1984.10,19.71,ASSINIBOIA,,0,2.9290322580645163,7,SASKATCHEWAN,31,SK,5.26,31,1984,,10,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,15.19,49.733,-24,30,4020280,11,9.6,SASKATCHEWAN,9.6,30,680.9,1984-11,30,0,3070.1984.11,17.52,ASSINIBOIA,,,-4.696666666666666,3,SASKATCHEWAN,30,SK,-4.53,30,1984,,11,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.04,49.733,-37.5,31,4020280,6,17,SASKATCHEWAN,17,31,1054.8,1984-12,31,0,3070.1984.12,18.21,ASSINIBOIA,,6,-16.025806451612905,9,SASKATCHEWAN,31,SK,-11.08,31,1984,,12,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,16.07,49.733,-34.5,31,4020280,3.5,5,SASKATCHEWAN,5.4,31,966.6,1985-01,31,0,3070.1985.1,16.34,ASSINIBOIA,,8,-13.180645161290322,2,SASKATCHEWAN,31,SK,-11.55,31,1985,,1,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,9.81,49.733,-36,28,4020280,5.5,6.6,SASKATCHEWAN,6.6,28,843.7,1985-02,28,0,3070.1985.2,10.05,ASSINIBOIA,,2,-12.132142857142858,2,SASKATCHEWAN,28,SK,-8.79,28,1985,,2,-105.967
-105.96666666666667,49.733333333333334,,2014-07-31 11:50:32,18.56,49.733,-20,31,4020280,16.5,19.4,SASKATCHEWAN,21.8,31,596.2,1985-03,31,0,3070.1985.3,22.73,ASSINIBOIA,,0,-1.232258064516129,6,SASKATCHEWAN,31,SK,-2.38,31,1985,,3,-105.967
